file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/34 AT Hypnosis Texture - Roland 137.wav,One-Shot,7.01,63,184.57
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/31 AT Hypnosis Texture - Train 137.wav,Loop,7.01,78,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/12 AT Hypnosis Texture - Vermona 137.wav,One-Shot,14.01,126,78.3
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/22 AT Hypnosis Texture - Void 137.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/21 AT Hypnosis Texture - Zoom 137.wav,One-Shot,7.01,69,184.57
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/10 AT Hypnosis Texture - Opto 137.wav,Loop,7.01,34,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/35 AT Hypnosis Texture - Bucket 137.wav,Loop,7.01,56,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/08 AT Hypnosis Texture - Distressor 137.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/06 AT Hypnosis Texture - Cycle 137.wav,Loop,7.01,54,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/07 AT Hypnosis Texture - Soma 137.wav,Loop,7.01,54,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/33 AT Hypnosis Texture - Ring 137.wav,Loop,7.01,56,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/20 AT Hypnosis Texture - Alarm 137.wav,Loop,7.01,42,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/28 AT Hypnosis Texture - Resonance 137.wav,Loop,7.01,55,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/29 AT Hypnosis Texture - Volca 137.wav,One-Shot,7.01,49,90.67
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/02 AT Hypnosis Texture - Phase 137.wav,One-Shot,7.01,49,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/11 AT Hypnosis Texture - Pattern 137.wav,One-Shot,7.01,64,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Rhythmic Textures/04 AT Hypnosis Texture - Modular 137.wav,Loop,7.01,35,68.91
