2024-10-10 23:21:19,908 - INFO - train_sm/Oneshots/Drums/Hand Percussion/4D Conga H Mute.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 7 | Features: {'zcr_mean': 0.044086502259036146, 'spectral_flatness_mean': 0.010396812, 'rms_mean': 0.02209796}
2024-10-10 23:21:20,904 - INFO - train_sm/Oneshots/Drums/Tom/04 4Dry1 Flr.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.005118075284090909, 'spectral_flatness_mean': 0.00030231482, 'rms_mean': 0.06909332}
2024-10-10 23:21:22,053 - INFO - train_sm/Oneshots/Drums/Hihat/72 Kwerk Tips.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 18 | Features: {'zcr_mean': 0.02400960522001628, 'spectral_flatness_mean': 0.86029714, 'rms_mean': 0.010583862}
2024-10-10 23:21:33,872 - INFO - train_sm/Oneshots/Drums/Clap/69 Claps.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 15 | Features: {'zcr_mean': 0.03787625773569171, 'spectral_flatness_mean': 0.6180264, 'rms_mean': 0.036992155}
2024-10-10 23:21:46,866 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/12 AT Hypnosis FX - Void 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.013256350889900662, 'spectral_flatness_mean': 2.2188582e-05, 'rms_mean': 0.014430619}
2024-10-10 23:21:48,041 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/140 - Gallop(Fade Out).wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 15 | Features: {'zcr_mean': 0.07462398048020528, 'spectral_flatness_mean': 0.015703792, 'rms_mean': 0.041646335}
2024-10-10 23:21:49,172 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/03 AT Hypnosis FX - Rider 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 14 | Features: {'zcr_mean': 0.20489380691225165, 'spectral_flatness_mean': 0.020565605, 'rms_mean': 0.0489556}
2024-10-10 23:21:49,949 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/15 AT Hypnosis Texture - Teleport 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 13 | Features: {'zcr_mean': 0.11629339559188742, 'spectral_flatness_mean': 0.0040603788, 'rms_mean': 0.06664627}
2024-10-10 23:21:56,869 - INFO - train_sm/Oneshots/Sounds/Bass/12 JNGBASS2_Ab Major.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.004590905230978261, 'spectral_flatness_mean': 0.0012427986, 'rms_mean': 0.26511934}
2024-10-10 23:21:58,618 - INFO - train_sm/Oneshots/Sounds/Pad/- 05 Chord Tasty.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.1615294036374598, 'spectral_flatness_mean': 0.03478536, 'rms_mean': 0.043068733}
2024-10-10 23:22:01,828 - INFO - train_sm/Oneshots/Sounds/Lead/cyborg_Bb_Ab Major.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 16 | Features: {'zcr_mean': 0.04961421246130031, 'spectral_flatness_mean': 5.8811354e-05, 'rms_mean': 0.18608956}
