2024-10-10 22:46:59,432 - INFO - train_sm/Oneshots/Drums/Hand Percussion/4D Conga H Mute.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 7 | Features: {'zcr_mean': 0.044086502259036146, 'spectral_flatness_mean': 0.010396812, 'rms_mean': 0.02209796}
2024-10-10 22:47:04,941 - INFO - train_sm/Oneshots/Drums/Hand Percussion/017Congahi.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 12 | Features: {'zcr_mean': 0.09493215460526316, 'spectral_flatness_mean': 0.06884308, 'rms_mean': 0.003083313}
2024-10-10 22:47:13,358 - INFO - train_sm/Oneshots/Drums/Hand Percussion/224-Triangle.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 8 | Features: {'zcr_mean': 0.09136814024390244, 'spectral_flatness_mean': 0.00026023155, 'rms_mean': 0.07898083}
2024-10-10 22:47:24,078 - INFO - train_sm/Oneshots/Drums/Tom/04 4Dry1 Flr.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.005118075284090909, 'spectral_flatness_mean': 0.00030231482, 'rms_mean': 0.06909332}
2024-10-10 22:47:54,970 - INFO - train_sm/Oneshots/Drums/Hihat/72 Kwerk Tips.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 18 | Features: {'zcr_mean': 0.02400960522001628, 'spectral_flatness_mean': 0.86029714, 'rms_mean': 0.010583862}
2024-10-10 22:49:35,725 - INFO - train_sm/Oneshots/Drums/Clap/71 Tips&Snaps2.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 22 | Features: {'zcr_mean': 0.019378575657312325, 'spectral_flatness_mean': 0.808694, 'rms_mean': 0.008857023}
2024-10-10 22:49:49,340 - INFO - train_sm/Oneshots/Drums/Clap/69 Claps.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 15 | Features: {'zcr_mean': 0.03787625773569171, 'spectral_flatness_mean': 0.6180264, 'rms_mean': 0.036992155}
2024-10-10 22:50:01,037 - INFO - train_sm/Oneshots/Drums/Clap/70 Tips&Snaps.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 16 | Features: {'zcr_mean': 0.03930819731336344, 'spectral_flatness_mean': 0.7868271, 'rms_mean': 0.007064487}
2024-10-10 22:50:43,164 - INFO - train_sm/Oneshots/Sounds/Strings/VEC2 Synths HiString 06 C_C# Major.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 35 | Features: {'zcr_mean': 0.1424379157254016, 'spectral_flatness_mean': 0.0059185494, 'rms_mean': 0.15544926}
2024-10-10 22:50:47,159 - INFO - train_sm/Oneshots/Sounds/Strings/strTTE65022string-A_C# Minor.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.09327778063322369, 'spectral_flatness_mean': 0.015317961, 'rms_mean': 0.11621204}
2024-10-10 22:50:50,485 - INFO - train_sm/Oneshots/Sounds/Strings/strTTE65015string-A_Eb Major.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 10 | Features: {'zcr_mean': 0.06330406159507722, 'spectral_flatness_mean': 0.043212544, 'rms_mean': 0.1801474}
2024-10-10 22:50:52,323 - INFO - train_sm/Oneshots/Sounds/Strings/Stab Strings Scary Vintage.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 12 | Features: {'zcr_mean': 0.15770893030925606, 'spectral_flatness_mean': 0.03198663, 'rms_mean': 0.112979636}
2024-10-10 22:51:00,503 - INFO - train_sm/Oneshots/Sounds/Strings/strTTE65020string-A_Bb Minor.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.14936436049356824, 'spectral_flatness_mean': 0.0027370735, 'rms_mean': 0.17469679}
2024-10-10 22:51:02,474 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/27 AT Hypnosis FX - Dispersia 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 9 | Features: {'zcr_mean': 0.09989971532091098, 'spectral_flatness_mean': 0.020013612, 'rms_mean': 0.04774567}
2024-10-10 22:51:09,600 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/202per56.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 24 | Features: {'zcr_mean': 0.03975974907309322, 'spectral_flatness_mean': 0.0006181426, 'rms_mean': 0.1257487}
2024-10-10 22:51:12,170 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/12 AT Hypnosis Texture - Vermona 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 33 | Features: {'zcr_mean': 0.00650853037044702, 'spectral_flatness_mean': 0.00014261376, 'rms_mean': 0.074157886}
2024-10-10 22:51:14,989 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/12 AT Hypnosis FX - Void 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 6 | Features: {'zcr_mean': 0.013256350889900662, 'spectral_flatness_mean': 2.2188582e-05, 'rms_mean': 0.014430619}
2024-10-10 22:51:17,754 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/30 render 029.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 7 | Features: {'zcr_mean': 0.061820710657713496, 'spectral_flatness_mean': 0.02194081, 'rms_mean': 0.084187865}
2024-10-10 22:51:22,764 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/01 AT Hypnosis FX - Panic 137.wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 13 | Features: {'zcr_mean': 0.21448602739548842, 'spectral_flatness_mean': 0.0051561403, 'rms_mean': 0.037949864}
2024-10-10 22:51:23,139 - INFO - train_sm/Oneshots/Sounds/Ambience & FX/140 - Gallop(Fade Out).wav | Ground Truth: One-Shot | Predicted: Loop | Transients: 15 | Features: {'zcr_mean': 0.07462398048020528, 'spectral_flatness_mean': 0.015703792, 'rms_mean': 0.041646335}
